,Open,High,Low,Close,Adj Close,Volume
2022-07-07 09:30:00-04:00,11423.576171875,11430.8798828125,11422.1474609375,11430.8798828125,11430.8798828125,0.0
2022-07-07 09:31:00-04:00,11431.6171875,11431.6171875,11417.125,11424.2080078125,11424.2080078125,22221077.0
2022-07-07 09:32:00-04:00,11421.1474609375,11424.4609375,11415.7275390625,11415.7275390625,11415.7275390625,22372763.0
2022-07-07 09:33:00-04:00,11418.4658203125,11447.6357421875,11418.4658203125,11447.6357421875,11447.6357421875,19957549.0
2022-07-07 09:34:00-04:00,11446.9052734375,11471.9267578125,11446.9052734375,11471.9267578125,11471.9267578125,20901915.0
2022-07-07 09:35:00-04:00,11474.4130859375,11475.345703125,11468.4111328125,11475.345703125,11475.345703125,20377943.0
2022-07-07 09:36:00-04:00,11478.390625,11478.390625,11474.353515625,11478.205078125,11478.205078125,19607183.0
2022-07-07 09:37:00-04:00,11480.412109375,11483.7197265625,11480.412109375,11483.7197265625,11483.7197265625,17826254.0
2022-07-07 09:38:00-04:00,11486.4501953125,11486.4501953125,11478.828125,11478.828125,11478.828125,19360907.0
2022-07-07 09:39:00-04:00,11484.2255859375,11486.427734375,11482.626953125,11482.626953125,11482.626953125,17583135.0
2022-07-07 09:40:00-04:00,11485.2626953125,11489.744140625,11480.8515625,11482.025390625,11482.025390625,18143015.0
2022-07-07 09:41:00-04:00,11482.544921875,11489.1103515625,11480.4736328125,11489.1103515625,11489.1103515625,15132576.0
2022-07-07 09:42:00-04:00,11490.8974609375,11498.5419921875,11489.91015625,11498.5419921875,11498.5419921875,16363445.0
2022-07-07 09:43:00-04:00,11497.9072265625,11506.4931640625,11492.6611328125,11503.2099609375,11503.2099609375,19449754.0
2022-07-07 09:44:00-04:00,11505.0,11506.8408203125,11503.4208984375,11506.8408203125,11506.8408203125,17568647.0
2022-07-07 09:45:00-04:00,11512.234375,11512.234375,11507.5693359375,11512.056640625,11512.056640625,17264909.0
2022-07-07 09:46:00-04:00,11510.833984375,11511.052734375,11504.994140625,11506.7529296875,11506.7529296875,19737618.0
2022-07-07 09:47:00-04:00,11508.560546875,11514.9951171875,11508.560546875,11514.9951171875,11514.9951171875,15273236.0
2022-07-07 09:48:00-04:00,11514.25,11516.646484375,11513.427734375,11516.646484375,11516.646484375,15729447.0
2022-07-07 09:49:00-04:00,11516.22265625,11517.6982421875,11512.939453125,11517.6982421875,11517.6982421875,15035682.0
2022-07-07 09:50:00-04:00,11519.400390625,11519.400390625,11510.3935546875,11514.572265625,11514.572265625,17946590.0
2022-07-07 09:51:00-04:00,11515.6630859375,11515.9892578125,11512.9326171875,11514.2314453125,11514.2314453125,15142435.0
2022-07-07 09:52:00-04:00,11514.3779296875,11516.484375,11507.841796875,11510.626953125,11510.626953125,16168335.0
2022-07-07 09:53:00-04:00,11515.47265625,11519.4111328125,11513.576171875,11516.33203125,11516.33203125,15128322.0
2022-07-07 09:54:00-04:00,11515.6923828125,11531.265625,11515.44921875,11531.265625,11531.265625,15297900.0
2022-07-07 09:55:00-04:00,11531.88671875,11536.5224609375,11531.88671875,11535.888671875,11535.888671875,16990814.0
2022-07-07 09:56:00-04:00,11536.396484375,11537.501953125,11533.533203125,11534.9208984375,11534.9208984375,13800823.0
2022-07-07 09:57:00-04:00,11533.0625,11534.5615234375,11531.5673828125,11531.5673828125,11531.5673828125,13020052.0
2022-07-07 09:58:00-04:00,11531.642578125,11531.642578125,11527.2666015625,11527.2666015625,11527.2666015625,13225415.0
2022-07-07 09:59:00-04:00,11526.9931640625,11526.9931640625,11523.990234375,11523.990234375,11523.990234375,14111022.0
2022-07-07 10:00:00-04:00,11522.9833984375,11522.9833984375,11501.9345703125,11501.9345703125,11501.9345703125,15254862.0
2022-07-07 10:01:00-04:00,11497.9697265625,11497.9873046875,11490.185546875,11491.265625,11491.265625,15480137.0
2022-07-07 10:02:00-04:00,11492.4775390625,11495.623046875,11492.4775390625,11493.4697265625,11493.4697265625,14803830.0
2022-07-07 10:03:00-04:00,11492.123046875,11498.2216796875,11492.123046875,11493.662109375,11493.662109375,14729963.0
2022-07-07 10:04:00-04:00,11491.71875,11498.03515625,11486.9072265625,11497.64453125,11497.64453125,17604514.0
2022-07-07 10:05:00-04:00,11495.927734375,11503.05078125,11495.927734375,11501.0654296875,11501.0654296875,15793332.0
2022-07-07 10:06:00-04:00,11501.982421875,11505.99609375,11501.966796875,11504.1728515625,11504.1728515625,13956721.0
2022-07-07 10:07:00-04:00,11504.6376953125,11508.34765625,11503.220703125,11507.166015625,11507.166015625,13633336.0
2022-07-07 10:08:00-04:00,11505.5283203125,11509.599609375,11499.4208984375,11509.599609375,11509.599609375,15307320.0
2022-07-07 10:09:00-04:00,11509.5537109375,11524.4404296875,11509.5537109375,11523.734375,11523.734375,15729715.0
2022-07-07 10:10:00-04:00,11523.0244140625,11531.2802734375,11523.0244140625,11531.2802734375,11531.2802734375,15269025.0
2022-07-07 10:11:00-04:00,11530.83984375,11530.83984375,11522.0234375,11522.0234375,11522.0234375,13244312.0
2022-07-07 10:12:00-04:00,11519.1220703125,11519.1220703125,11509.203125,11513.1689453125,11513.1689453125,14556062.0
2022-07-07 10:13:00-04:00,11510.62890625,11515.6142578125,11510.095703125,11515.6142578125,11515.6142578125,13725526.0
2022-07-07 10:14:00-04:00,11516.82421875,11516.82421875,11509.470703125,11516.189453125,11516.189453125,12478170.0
2022-07-07 10:15:00-04:00,11517.376953125,11528.314453125,11513.9755859375,11528.314453125,11528.314453125,11102801.0
2022-07-07 10:16:00-04:00,11527.75390625,11529.876953125,11525.2890625,11527.3994140625,11527.3994140625,11782053.0
2022-07-07 10:17:00-04:00,11528.8388671875,11537.0166015625,11528.7587890625,11534.4990234375,11534.4990234375,12684601.0
2022-07-07 10:18:00-04:00,11531.6279296875,11532.607421875,11527.375,11527.8681640625,11527.8681640625,13399655.0
2022-07-07 10:19:00-04:00,11526.734375,11526.734375,11513.9521484375,11517.2626953125,11517.2626953125,12165628.0
2022-07-07 10:20:00-04:00,11515.982421875,11516.8330078125,11509.83203125,11514.478515625,11514.478515625,15000735.0
2022-07-07 10:21:00-04:00,11510.7265625,11510.7265625,11504.8330078125,11506.7568359375,11506.7568359375,15843327.0
2022-07-07 10:22:00-04:00,11507.60546875,11509.9423828125,11506.3408203125,11509.568359375,11509.568359375,11907474.0
2022-07-07 10:23:00-04:00,11509.8740234375,11509.8740234375,11506.572265625,11507.2744140625,11507.2744140625,11473693.0
2022-07-07 10:24:00-04:00,11507.1181640625,11511.021484375,11504.8837890625,11511.021484375,11511.021484375,9704000.0
2022-07-07 10:25:00-04:00,11511.7216796875,11513.7890625,11510.7939453125,11512.0244140625,11512.0244140625,12788000.0
2022-07-07 10:26:00-04:00,11515.431640625,11517.2216796875,11514.7802734375,11516.9736328125,11516.9736328125,12721000.0
2022-07-07 10:27:00-04:00,11521.548828125,11524.3388671875,11517.7744140625,11517.7744140625,11517.7744140625,12792000.0
2022-07-07 10:28:00-04:00,11516.3212890625,11518.431640625,11515.0654296875,11518.431640625,11518.431640625,10409000.0
2022-07-07 10:29:00-04:00,11519.6572265625,11524.939453125,11519.6572265625,11524.939453125,11524.939453125,10411000.0
2022-07-07 10:30:00-04:00,11528.4443359375,11528.4443359375,11521.1142578125,11524.64453125,11524.64453125,11058000.0
2022-07-07 10:31:00-04:00,11525.9384765625,11532.072265625,11525.2666015625,11531.19921875,11531.19921875,10717000.0
2022-07-07 10:32:00-04:00,11530.5146484375,11535.8798828125,11530.5146484375,11534.951171875,11534.951171875,10601000.0
2022-07-07 10:33:00-04:00,11534.2333984375,11534.2333984375,11527.7900390625,11528.0380859375,11528.0380859375,12365000.0
