,Open,High,Low,Close,Adj Close,Volume
2022-08-02 09:30:00-04:00,12290.7119140625,12297.255859375,12284.5478515625,12284.5478515625,12284.5478515625,0.0
2022-08-02 09:31:00-04:00,12287.0615234375,12309.9560546875,12285.5625,12309.9560546875,12309.9560546875,22817242.0
2022-08-02 09:32:00-04:00,12318.607421875,12318.607421875,12299.384765625,12302.71484375,12302.71484375,19090907.0
2022-08-02 09:33:00-04:00,12312.71484375,12328.7958984375,12312.71484375,12328.7958984375,12328.7958984375,19588747.0
2022-08-02 09:34:00-04:00,12330.271484375,12331.2861328125,12314.6142578125,12322.658203125,12322.658203125,20202815.0
2022-08-02 09:35:00-04:00,12323.6650390625,12323.6650390625,12299.90625,12299.90625,12299.90625,17143501.0
2022-08-02 09:36:00-04:00,12306.4443359375,12319.1943359375,12306.4443359375,12319.1943359375,12319.1943359375,18005994.0
2022-08-02 09:37:00-04:00,12325.5380859375,12325.5380859375,12314.3720703125,12318.583984375,12318.583984375,17027044.0
2022-08-02 09:38:00-04:00,12310.744140625,12316.7724609375,12304.2568359375,12316.3310546875,12316.3310546875,17225888.0
2022-08-02 09:39:00-04:00,12315.9326171875,12333.5673828125,12314.3837890625,12333.5673828125,12333.5673828125,15353591.0
2022-08-02 09:40:00-04:00,12336.328125,12342.1279296875,12329.890625,12342.1279296875,12342.1279296875,15496204.0
2022-08-02 09:41:00-04:00,12339.390625,12343.3857421875,12335.5185546875,12341.8681640625,12341.8681640625,15687645.0
2022-08-02 09:42:00-04:00,12343.4990234375,12347.87109375,12337.48828125,12337.48828125,12337.48828125,15621987.0
2022-08-02 09:43:00-04:00,12337.400390625,12337.400390625,12319.9580078125,12319.9580078125,12319.9580078125,17222820.0
2022-08-02 09:44:00-04:00,12321.4990234375,12321.4990234375,12314.1484375,12318.9228515625,12318.9228515625,16376480.0
2022-08-02 09:45:00-04:00,12315.935546875,12351.98046875,12315.935546875,12351.98046875,12351.98046875,18513010.0
2022-08-02 09:46:00-04:00,12346.08984375,12360.9248046875,12346.08984375,12360.1689453125,12360.1689453125,17910587.0
2022-08-02 09:47:00-04:00,12362.509765625,12363.4052734375,12358.0654296875,12361.212890625,12361.212890625,13464149.0
2022-08-02 09:48:00-04:00,12360.66015625,12360.66015625,12352.671875,12352.671875,12352.671875,13984104.0
2022-08-02 09:49:00-04:00,12346.884765625,12346.884765625,12339.28125,12339.8447265625,12339.8447265625,28150093.0
2022-08-02 09:50:00-04:00,12345.16796875,12345.9609375,12334.8310546875,12337.27734375,12337.27734375,13668775.0
2022-08-02 09:51:00-04:00,12342.220703125,12349.4365234375,12332.3486328125,12339.751953125,12339.751953125,15020516.0
2022-08-02 09:52:00-04:00,12337.3349609375,12340.1630859375,12330.57421875,12330.57421875,12330.57421875,16180422.0
2022-08-02 09:53:00-04:00,12328.6455078125,12329.37890625,12314.744140625,12314.744140625,12314.744140625,14377630.0
2022-08-02 09:54:00-04:00,12320.2197265625,12320.2197265625,12310.6650390625,12310.6650390625,12310.6650390625,11617892.0
2022-08-02 09:55:00-04:00,12312.3564453125,12312.3564453125,12300.7392578125,12304.2626953125,12304.2626953125,12266862.0
2022-08-02 09:56:00-04:00,12303.361328125,12305.310546875,12300.234375,12304.2978515625,12304.2978515625,12662183.0
2022-08-02 09:57:00-04:00,12306.3154296875,12323.912109375,12306.3154296875,12323.912109375,12323.912109375,11919282.0
2022-08-02 09:58:00-04:00,12323.9423828125,12342.0068359375,12323.9423828125,12334.798828125,12334.798828125,16051275.0
2022-08-02 09:59:00-04:00,12335.458984375,12336.7001953125,12332.5625,12333.080078125,12333.080078125,11644030.0
2022-08-02 10:00:00-04:00,12328.375,12328.375,12319.3671875,12322.2568359375,12322.2568359375,13257518.0
2022-08-02 10:01:00-04:00,12315.1826171875,12327.0888671875,12315.1826171875,12316.419921875,12316.419921875,15424283.0
