,Open,High,Low,Close,Adj Close,Volume
2022-07-21 11:02:00-04:00,11910.2001953125,11913.529296875,11909.294921875,11913.083984375,11913.083984375,8938000.0
2022-07-21 11:03:00-04:00,11913.1240234375,11917.767578125,11913.1240234375,11917.767578125,11917.767578125,7352000.0
2022-07-21 11:04:00-04:00,11914.216796875,11925.21875,11914.216796875,11925.21875,11925.21875,9052000.0
2022-07-21 11:05:00-04:00,11926.2646484375,11926.2646484375,11921.46484375,11923.4013671875,11923.4013671875,11149000.0
2022-07-21 11:06:00-04:00,11921.2197265625,11921.2197265625,11915.34375,11919.1923828125,11919.1923828125,10182000.0
2022-07-21 11:07:00-04:00,11917.125,11917.125,11913.3193359375,11913.3193359375,11913.3193359375,7760000.0
2022-07-21 11:08:00-04:00,11913.3583984375,11918.0615234375,11913.3583984375,11916.1865234375,11916.1865234375,7361000.0
2022-07-21 11:09:00-04:00,11916.4140625,11920.314453125,11916.3564453125,11919.6455078125,11919.6455078125,6442000.0
2022-07-21 11:10:00-04:00,11919.205078125,11919.78125,11910.2216796875,11914.25,11914.25,8097000.0
2022-07-21 11:11:00-04:00,11913.7578125,11918.9130859375,11913.7578125,11917.328125,11917.328125,8713000.0
2022-07-21 11:12:00-04:00,11916.6240234375,11916.6240234375,11910.916015625,11911.8095703125,11911.8095703125,7936000.0
2022-07-21 11:13:00-04:00,11911.0595703125,11911.0595703125,11905.1240234375,11907.64453125,11907.64453125,7949000.0
2022-07-21 11:14:00-04:00,11910.1064453125,11913.4423828125,11909.3212890625,11913.4423828125,11913.4423828125,7475000.0
2022-07-21 11:15:00-04:00,11915.6923828125,11919.3037109375,11912.638671875,11912.638671875,11912.638671875,7271000.0
2022-07-21 11:16:00-04:00,11913.419921875,11913.419921875,11908.533203125,11908.533203125,11908.533203125,6381000.0
2022-07-21 11:17:00-04:00,11910.388671875,11914.6552734375,11907.53515625,11914.6552734375,11914.6552734375,7857000.0
2022-07-21 11:18:00-04:00,11915.11328125,11917.689453125,11914.9541015625,11915.78125,11915.78125,8111000.0
2022-07-21 11:19:00-04:00,11915.66796875,11918.849609375,11914.619140625,11915.9775390625,11915.9775390625,7542000.0
2022-07-21 11:20:00-04:00,11915.296875,11919.81640625,11901.98046875,11902.2568359375,11902.2568359375,9516000.0
2022-07-21 11:21:00-04:00,11902.4521484375,11909.2392578125,11902.4521484375,11906.546875,11906.546875,8640000.0
2022-07-21 11:22:00-04:00,11904.2001953125,11906.744140625,11902.0380859375,11902.0380859375,11902.0380859375,7114000.0
2022-07-21 11:23:00-04:00,11902.283203125,11902.283203125,11896.509765625,11896.509765625,11896.509765625,8659000.0
2022-07-21 11:24:00-04:00,11896.1455078125,11901.65625,11896.1455078125,11901.65625,11901.65625,8363000.0
2022-07-21 11:25:00-04:00,11902.1796875,11909.423828125,11902.1796875,11906.982421875,11906.982421875,6857000.0
2022-07-21 11:26:00-04:00,11908.0927734375,11910.990234375,11903.7001953125,11910.990234375,11910.990234375,7300000.0
2022-07-21 11:27:00-04:00,11910.4521484375,11919.9228515625,11910.4287109375,11919.7900390625,11919.7900390625,7182000.0
2022-07-21 11:28:00-04:00,11919.0283203125,11929.9375,11919.0283203125,11929.9375,11929.9375,9899000.0
2022-07-21 11:29:00-04:00,11928.4072265625,11929.5517578125,11924.84375,11929.060546875,11929.060546875,8243000.0
2022-07-21 11:30:00-04:00,11933.8564453125,11933.8564453125,11919.017578125,11921.6953125,11921.6953125,8624000.0
2022-07-21 11:31:00-04:00,11921.248046875,11922.87890625,11919.6259765625,11922.87890625,11922.87890625,7877000.0
2022-07-21 11:32:00-04:00,11923.048828125,11942.9189453125,11923.048828125,11942.572265625,11942.572265625,8377000.0
