Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-15 09:30:00-04:00,11378.7392578125,11400.1015625,11378.7392578125,11397.380859375,11397.380859375,0
2022-07-15 09:31:00-04:00,11392.05859375,11392.345703125,11382.9306640625,11382.9306640625,11382.9306640625,23004949
2022-07-15 09:32:00-04:00,11387.66015625,11409.9296875,11387.66015625,11409.146484375,11409.146484375,21228773
2022-07-15 09:33:00-04:00,11411.9658203125,11411.9658203125,11395.8798828125,11395.8798828125,11395.8798828125,18136211
2022-07-15 09:34:00-04:00,11407.1005859375,11407.1005859375,11393.5029296875,11399.0859375,11399.0859375,21378584
2022-07-15 09:35:00-04:00,11398.46875,11416.3662109375,11398.46875,11416.3662109375,11416.3662109375,18740696
2022-07-15 09:36:00-04:00,11419.3212890625,11419.3212890625,11403.8369140625,11407.7158203125,11407.7158203125,19589868
2022-07-15 09:37:00-04:00,11406.9912109375,11410.7421875,11403.515625,11403.5791015625,11403.5791015625,18991100
2022-07-15 09:38:00-04:00,11405.9990234375,11407.58984375,11400.90625,11400.90625,11400.90625,16624182
2022-07-15 09:39:00-04:00,11395.3330078125,11395.3330078125,11378.9990234375,11378.9990234375,11378.9990234375,17166055
2022-07-15 09:40:00-04:00,11383.869140625,11383.869140625,11374.8046875,11374.8046875,11374.8046875,14942836
2022-07-15 09:41:00-04:00,11379.11328125,11379.498046875,11375.3818359375,11375.8623046875,11375.8623046875,15919993
2022-07-15 09:42:00-04:00,11370.142578125,11370.576171875,11366.68359375,11370.0205078125,11370.0205078125,18366197
2022-07-15 09:43:00-04:00,11371.8115234375,11380.0546875,11370.681640625,11376.4111328125,11376.4111328125,15171852
2022-07-15 09:44:00-04:00,11377.0419921875,11377.7236328125,11364.001953125,11372.9208984375,11372.9208984375,15514230
2022-07-15 09:45:00-04:00,11368.818359375,11368.818359375,11343.3974609375,11343.3974609375,11343.3974609375,14747629
2022-07-15 09:46:00-04:00,11337.7529296875,11337.7529296875,11325.3115234375,11328.6181640625,11328.6181640625,19108504
2022-07-15 09:47:00-04:00,11328.181640625,11332.8828125,11326.8427734375,11332.8828125,11332.8828125,17123524
2022-07-15 09:48:00-04:00,11332.2421875,11339.7548828125,11332.1259765625,11339.7548828125,11339.7548828125,13784485
2022-07-15 09:49:00-04:00,11339.490234375,11339.490234375,11332.6083984375,11332.8876953125,11332.8876953125,12167645
2022-07-15 09:50:00-04:00,11333.3251953125,11336.779296875,11320.19140625,11320.19140625,11320.19140625,12808387
2022-07-15 09:51:00-04:00,11323.2509765625,11323.30859375,11311.619140625,11311.619140625,11311.619140625,15452873
2022-07-15 09:52:00-04:00,11312.1826171875,11312.1826171875,11299.1552734375,11299.1552734375,11299.1552734375,13350813
2022-07-15 09:53:00-04:00,11300.2392578125,11305.93359375,11300.2392578125,11305.419921875,11305.419921875,14630129
2022-07-15 09:54:00-04:00,11305.0546875,11305.58984375,11301.7373046875,11303.365234375,11303.365234375,13328497
2022-07-15 09:55:00-04:00,11296.2021484375,11317.36328125,11296.2021484375,11317.36328125,11317.36328125,14265927
2022-07-15 09:56:00-04:00,11316.876953125,11322.0751953125,11316.876953125,11322.0751953125,11322.0751953125,13726309
2022-07-15 09:57:00-04:00,11321.4033203125,11321.4033203125,11317.7529296875,11318.4248046875,11318.4248046875,12522041
2022-07-15 09:58:00-04:00,11315.681640625,11330.451171875,11314.2177734375,11330.451171875,11330.451171875,11492805
2022-07-15 09:59:00-04:00,11329.1123046875,11332.599609375,11329.1123046875,11331.6572265625,11331.6572265625,13116427
2022-07-15 10:00:00-04:00,11352.1181640625,11396.0380859375,11352.1181640625,11391.0068359375,11391.0068359375,11498203
2022-07-15 10:01:00-04:00,11391.2001953125,11392.673828125,11385.6376953125,11390.5078125,11390.5078125,21750768
2022-07-15 10:02:00-04:00,11390.9716796875,11390.9716796875,11362.79296875,11373.353515625,11373.353515625,21256468
2022-07-15 10:03:00-04:00,11373.6865234375,11373.6865234375,11365.5380859375,11368.9755859375,11368.9755859375,12896973
2022-07-15 10:04:00-04:00,11364.4248046875,11369.302734375,11364.4248046875,11369.302734375,11369.302734375,12839648
2022-07-15 10:05:00-04:00,11372.4365234375,11379.978515625,11372.076171875,11373.92578125,11373.92578125,11929670
2022-07-15 10:06:00-04:00,11368.2265625,11368.2265625,11350.64453125,11352.26953125,11352.26953125,12768350
2022-07-15 10:07:00-04:00,11351.6884765625,11357.361328125,11349.91796875,11356.376953125,11356.376953125,13827649
2022-07-15 10:08:00-04:00,11358.0107421875,11360.962890625,11354.08203125,11354.08203125,11354.08203125,10305649
2022-07-15 10:09:00-04:00,11354.1982421875,11355.642578125,11352.1142578125,11355.642578125,11355.642578125,10496730
2022-07-15 10:10:00-04:00,11357.525390625,11359.595703125,11346.7216796875,11347.31640625,11347.31640625,10498058
2022-07-15 10:11:00-04:00,11348.9169921875,11370.4150390625,11348.9169921875,11370.4150390625,11370.4150390625,12868882
2022-07-15 10:12:00-04:00,11369.728515625,11377.2890625,11369.728515625,11377.2890625,11377.2890625,12021543
2022-07-15 10:13:00-04:00,11377.833984375,11377.833984375,11369.044921875,11369.4443359375,11369.4443359375,12622405
2022-07-15 10:14:00-04:00,11368.70703125,11369.66796875,11364.9541015625,11366.6181640625,11366.6181640625,11865842
2022-07-15 10:15:00-04:00,11365.9033203125,11368.4990234375,11354.740234375,11355.640625,11355.640625,10466315
2022-07-15 10:16:00-04:00,11356.96875,11364.931640625,11356.96875,11364.931640625,11364.931640625,11899868
2022-07-15 10:17:00-04:00,11364.134765625,11374.97265625,11362.3330078125,11374.97265625,11374.97265625,11178869
2022-07-15 10:18:00-04:00,11376.7041015625,11377.2841796875,11374.7509765625,11376.703125,11376.703125,11848907
2022-07-15 10:19:00-04:00,11374.1982421875,11377.376953125,11369.142578125,11369.142578125,11369.142578125,10440428
2022-07-15 10:20:00-04:00,11369.5830078125,11369.5830078125,11355.412109375,11355.412109375,11355.412109375,11916441
2022-07-15 10:21:00-04:00,11354.1953125,11354.2958984375,11331.82421875,11334.576171875,11334.576171875,13849610
2022-07-15 10:22:00-04:00,11333.609375,11343.1416015625,11333.609375,11343.1416015625,11343.1416015625,14760085
2022-07-15 10:23:00-04:00,11344.1474609375,11360.2265625,11344.1474609375,11360.2265625,11360.2265625,13076692
2022-07-15 10:24:00-04:00,11362.2568359375,11376.6025390625,11362.2568359375,11376.6025390625,11376.6025390625,12138705
